"Recherche : ";"Statut : Active"
Filtres;"Date de début d'activité : Du 31/12/1947 Au 20/04/1948 ; Forme juridique : Autre société civile , GFA, Groupement foncier agricole , Indivision entre personnes physiques , SAS, société par actions simplifiée|SASU, Société par actions simplifiée unipersonnelle, SELARL, Société d'exercice libéral à responsabilité limitée|Société d'exercice libéral à responsabilité limitée à associé unique (SELARLU), SNC, Société en nom collectif , Société anonyme à conseil d'administration (sans autre indication), Société anonyme à directoire (sans autre indication), Société civile immobilière (SCI), Société civile immobilière de construction-vente, Société commerciale étrangère immatriculée au RCS, Société coopérative agricole , , CUMA, Coopérative d'utilisation de matériel agricole en commun , Établissement public local à caractère industriel ou commercial, GF, Groupement forestier , Régie d'une collectivité locale à caractère industriel ou commercial , SARL, Société à responsabilité limitée (sans autre indication)|Société à responsabilité limitée à associé unique (SARLU ou EURL), SCEA, Société civile d'exploitation agricole , SCS, Société en commandite simple "
"Dénomination / Nom";"Début d'activité";SIREN;Représentants;"Adresse du siège";"Forme juridique";Activité;Département;Etablissements;Capital;Statut
"ETABLISSEMENTS ANDRE LECONTE";01/04/1948;'572140788;"XAVIERE Leconte";"99 B AV DU GENERAL LECLERC 75014 PARIS FRANCE ";"Société par actions simplifiée";"L'édition, l'impression et l'exploitation l'achat et la vente, la commission et la représentation de tous articles relevant des arts graphiques, des arts photomécaniques et de l'industrie photo chimique. Réalisation de publicité par l'image et le son, édition et vente de cartes postales, des éditions, cartes postales fantaisie, géographiques, guides, souvenirs, gadgets, biscuits, confiserie.";'75;"38 RUE STE CROIX BRETONNERIE 75004 PARIS 04 FRANCE 17 RUE D'ARCOLE 75004 PARIS FRANCE 10 AV HENRI BARBUSSE 94200 IVRY-SUR-SEINE FRANCE ";129581.66;Active
"BOULANGERIE PATISSERIE MADAME";01/04/1948;'582078366;"MICHEL Druet";"48 RUE MADAME 75006 PARIS FRANCE ";"Société à responsabilité limitée";"EXPLOITATION D'UN FONDS DE COMMERCE DE BOULANGERIE PATISSERIE SIS A PARIS 6EME, RUE MADAME N°48";'75;"2 RUE HENRI BARBUSSE 93200 SAINT-DENIS FRANCE ";8537.14;Active
"ETABLISSEMENTS VIGLINO";01/04/1948;'582095998;"FLORENCE ANNE THERESE DANIELLE HONTAS , FLORENCE ANNE THERESE HONTAS";"30 RUE HOCHE 94200 IVRY-SUR-SEINE FRANCE ";"Société à responsabilité limitée";"L'achat la vente la pose de verres à titres vitraux miroiterie et articles se rattachant directement ou Indirectmeent aux objets ci-dessus ou à tous autres objets similaires ou connexes";'94;"36 RUE HOCHE 94200 IVRY-SUR-SEINE FRANCE ";7622.45;Active
"CENTRE ELECTRIQUE ENTREPRISE";01/04/1948;'603720236;"PASCAL COMMON, PIERRE FILLASTRE";"113 RUE DE LA BRASSERIE 18200 SAINT-AMAND-MONTROND FRANCE ";"Société par actions simplifiée";"Travaux publics et particuliers installation lignes aériennes et souterraines éclairage public illuminations automatisation vidéosurveillance Irve";'18;"27 RUE ROBESPIERRE 18100 VIERZON FRANCE 56 QUAI DU CANAL 42300 ROANNE FRANCE 44 CHE DU PETIT PANLOUP 03400 YZEURE FRANCE RUE HENRI DUNANT 58200 COSNE-COURS-SUR-LOIRE FRANCE 56 RUE DE VERDUN 71170 CHAUFFAILLES FRANCE CHE DES BAS MONTOTS 58000 NEVERS FRANCE ZAC DU CHAMP DE LA BERNE 18240 LERE FRANCE RTE DE MARCILLY 41300 SALBRIS FRANCE 22 BD DU PRE PLANTIN 58000 NEVERS FRANCE 18300 BANNAY FRANCE RUE DU PROGRES 03600 COMMENTRY FRANCE 110 RUE DES PAPILLONS 41200 ROMORANTIN-LANTHENAY FRANCE 8 RUE LAVOISIER 45140 INGRE FRANCE RUE DES FOULONS 45400 FLEURY-LES-AUBRAIS FRANCE ZONE INDUSTRIELLE LES NOYERS 36150 VATAN FRANCE 1 AV HENRI DEBORD 18230 SAINT-DOULCHARD FRANCE 12 RUE I ET F JOLIOT CURIE 18230 SAINT DOULCHARD FRANCE 13 RUE LOUIS BECHEREAU 18000 BOURGES FRANCE ";1176650;Active
"BOULANGERIE PATISSERIE DE LA REPUBLIQUE";01/04/1948;'612039222;"LILIANE LEPAGE";"36 RTE DE LA REINE 92100 BOULOGNE-BILLANCOURT FRANCE ";"Société par actions simplifiée";"Boulangerie pâtisserie confiserie";'92;;8746.76;Active
"ENTREPRISE DE TRAVAUX PUBLICS DE HAUTE GALAURE";01/04/1948;'070502612;"KARL GERARD JEANNENEZ, KARL JEANNENEZ, KARL JEANNENEZ";"75 RUE  75 Rue Grandjean 38940 Roybon FRANCE ";"Société à responsabilité limitée";"Entreprise de travaux publics, construction, entretien de routes, exploitation de carrières, forets, travaux annexes.";'38;"GRANDE RUE 38940 ROYBON FRANCE ";7622.45;Active
"SCHMIT SAICA";01/04/1948;'777346479;"ALAIN FLEYTOUX";"5 RUE DU MAILLET 57100 THIONVILLE FRANCE ";"Société par actions simplifiée";"Commerce en gros de tous les articles de quincaillerie menage produits sidérurgiques négoce de fourniture matériel et mobilier";'57;"RUE DE COINVILLE 57255 SAINTE-MARIE-AUX-CHENES FRANCE LE BREUIL 57245 JURY FRANCE 9 RUE DE JEMMAPES 57100 THIONVILLE FRANCE ";502000;Active
"BERNARD BONNEFOND";01/04/1948;'780139788;"MARC FREDERIC LOUIS MARIE BERNARD";"7 ALL MATHIEU MURGUE 42100 SAINT-ETIENNE FRANCE ";"Société par actions simplifiée";"matériel électrique. La réparation et la construction de matériel électrique.";'42;"27 BD BERTHIER 75017 PARIS FRANCE ";874000;Active
"SCI  DE SAINT PAUL POENCET";01/04/1948;'427412739;"PHILIPPE ALBERT LEBRUN, XAVIER MARIE HUBERT ALBERT-LEBRUN, BLANDINE MARIE CHANTAL ALBERT-LEBRUN, MARIE BERNADETTE MURIELLE ALBERT-LEBRUN, CECILE MARIE FRANCOISE ALBERT-LEBRUN, CHRISTIAN GARREZ, CLAIRE HELENE GILBERTE GARREZ, CHARLES MARIE DENIS KEHOE, CLOTILDE MARIE KEHOE, ANTOINE MAURICE MARIE LE BARON, CAMILLE GEORGES PAUL MARIE OUDIN, REMI CLAUDE MARIE OUDIN, DOMINIQUE MICHELE MARIE PARMENTIER, JEROME MARIE GUY THILLAYE DU BOULLAY, SOLINE MARIE JEANNE-FRANCOISE JACQUES THILLAYE DU BOULLAY";"21 RTE DE LA FORTUNE 73210 AIME-LA-PLAGNE FRANCE ";"Société civile immobilière";"PROPRIETE,ADMINISTRATION ET EXPLOITATION D'UNE PROPRIETE IMMOBILIERE DESTINEE A L'USAGE DES ASSOCIES.";'73;;1526.01;Active
"ETABLISSEMENTS JABLY PERE ET FILS";01/04/1948;'615880226;"MATHIEU FERNAND GILBERT GUERIEL, MATHIEU GUERIEL";"1 RUE D'AULT 80130 ALLENAY FRANCE ";"Société à responsabilité limitée";"fabrique de tous articles de cuivrerie et de ferronnerie";'80;"16 RUE EDOUARD VAILLANT 80520 WOINCOURT FRANCE ";56000;Active
"ETABLISSEMENTS JULIENNE ET COMPAGNIE";01/04/1948;'570500215;;;"Société à responsabilité limitée";;;"5 RUE DEBELLEYME 75003 PARIS FRANCE ";;Active
"FINANCIERE DELPEUCH";01/04/1948;'582104451;"AURELIE DELPEUCH, MARIE DELPEUCH, FRANCOIS DELPEUCH";;"Société à responsabilité limitée";;;"12 AV DE COLY 24570 CONDAT-SUR-VEZERE FRANCE 132 RUE DE COURCELLES 75017 PARIS 17 FRANCE 7 RUE VILLARET DE JOYEUSE 75017 PARIS 17 FRANCE ";102000;Active
"TANNERIE DU LOUBAT";01/04/1948;'717020366;"RENAUD HUBERT MARC MARTINET";"12 RUE CLAUDE BERNARD 81300 GRAULHET FRANCE ";"Société par actions simplifiée";"Industrie et commerce de la tannerie, pelleterie, mégisserie, délainage et maroquinerie. Fabrication et négoce de chaussures";'81;"27 AV MARCEL PAGNOL 81300 GRAULHET FRANCE 9 AV MARCEL PAGNOL 81300 GRAULHET FRANCE ";19800;Active
"MAILHAC IMMOBILIER";01/04/1948;'915550263;"CECILE MONIQUE HUET, BENJAMIN MAILHAC, FREDERIC MAILHAC, CHRISTOPHE MAILHAC, CATHERINE SIMONE MARZIO";"14 COTE DE LAVAULT 03100 LAVAULT-SAINTE-ANNE FRANCE ";"Société civile immobilière";"Location de locaux à usage commercial";'03;"RUE DES FRERES MARTENOT 03100 MONTLUCON FRANCE ";58750;Active
"IMPRIMERIE CLERTANT";01/04/1948;'958512337;"NICOLE BUATON";"15 RUE EMILE ZOLA 69002 LYON FRANCE ";"Société par actions simplifiée";"L'achat, la vente en gros, demi-gros et détail, la fabrication, la représentation de tous articles dimprimerie, papeterie et l'exploitation d'un commerce d'imprimerie à LYON 15 Rue Emile Zola.";'69;;38566;Active
FOUILLEUL;01/04/1948;'555850643;;"50 RUE DU GUE D'ORGER 53000 LAVAL FRANCE ";"Société par actions simplifiée";"Commerce de cuirs et peau tanée, articles découpés ou emboutis, de tous établissements commerciaux, de toutes fournitures pour les entrprises du bâtiment et les négociants spécialisés, commerce de tous articles ou objets destinés au bâtiment et à l'approvisionnement ménagers.";'53;;160000;Active
"OFFICE TRANSACTIONS IMPORT EXPORT COURTA";01/04/1948;'542001029;"RAVEEN RAMESH";"37 RUE DES MATHURINS 75008 PARIS FRANCE ";"Société à responsabilité limitée";;'75;"8 RUE DE MIROMESNIL 75008 PARIS FRANCE 22 RUE DE L'ARCADE 75008 PARIS FRANCE 130 RUE DE ROSNY 93100 MONTREUIL FRANCE 130 RUE PIERRE DE MONTREUIL 93100 MONTREUIL FRANCE ";51012;Active
BASTY;01/04/1948;'835850769;"GUILLAUME BASTY";"1400 AV D'ANTIBES 45200 AMILLY FRANCE ";"Société par actions simplifiée";"Commerce, réparation automobiles, location de véhicules. Achat, vente ou location et réparation de cycles et motocycles";'45;;343812;Active
"SCI MANSARD";01/04/1948;'444588099;"TATIANA FOUROUNDJI DITE TANIA FLOREY";"1154 BD DE LA GAROUPE 06160 ANTIBES FRANCE ";"Société civile immobilière";"ACQUISITION ET GESTION DE BIENS IMMOBILIERS.";'06;;15245;Active
FIROPA;01/04/1948;'550501514;"ELISE PASCALE JACQUELINE";"RUE DU PRE DE LA ROQUETTE 76800 SAINT-ETIENNE-DU-ROUVRAY FRANCE ";"Société par actions simplifiée";"Gestion de son patrimoine immobilier et mobilier.";'76;"29 RUE DE SOTTEVILLE 76100 ROUEN FRANCE ";10720000;Active
"HOTEL ALBERT 1ER";01/04/1948;'562033290;"JACQUES Blanc";"162 RUE LA FAYETTE 75010 PARIS FRANCE ";"Société par actions simplifiée";"HOTEL MEUBLE";'75;;735000;Active
"HADDAD ET COMPAGNIE";01/04/1948;'582100483;"NESSIM HADDAD DIT SIMON BERNARD";;"Société en commandite simple";;;"RUE VIVIENNE 75002 PARIS 2 FRANCE ";228673.53;Active
"METAL LUX";01/04/1948;'588800987;"CHRISTOPHE BLERVACQ";"RUE DE LA PYRAMIDE 59121 HAULCHIN FRANCE ";"Société à responsabilité limitée";"Feronnerie d'art, construction mécanique, soudure électrique, fabrique de jouets, lustrerie, instal- lation de clôtures. Tous travaux d'études pour l'industrie, le bâtiment et les travaux publics Présentation et vente de tous produits et acces- soires destinés à la fermeture de bâtiments";'59;"12 RUE DE LA FONTAINE 59121 PROUVY FRANCE ";18000;Active
"SCI 26 RUE RAOUL BLANCHARD";01/04/1948;'311109607;"ODETTE CAMILLE GIET, JEAN-CHRISTIAN PEYRET, EVELYNE PEYRET, DOMINIQUE PAULE CAROL PORTAIL, ALBERT PIERRE RENE PORTAIL, DANIELE ANNE PORTAIL, FREDERIQUE BRIGITTE SYLVIA PATRICIA PORTAIL-GIET, PAMELA SOUBRIER, ALEXANDRA SIDONIE SOUBRIER, PATRICK FRANCIS VENTURA";"2 RUE MONTORGE 38000 GRENOBLE FRANCE ";"Société civile immobilière";"L'administration, la location de tous immeubles.";'38;;76.22;Active
"RABARIN ET NOVARO";01/04/1948;'059804443;"FRANCK PIGAGLIO";"20 RUE LAUTARD 13003 MARSEILLE FRANCE ";"Société à responsabilité limitée";"Repoussage sur métaux, articles de menage tôlerie, ferblanterie, Appa-- Reillage de lustrerie, travaux de soudure, fabrication et prestation de service, serrurerie et ferronnerie (prestations de services)";'13;;90000;Active
"HOTEL DARCY DIJON CENTRE";01/04/1948;'015651250;"THIERRY NEFF, MAXIME NEFF, GUILLAUME THOMAS";"2 RUE DE LA LIBERTE 21000 DIJON FRANCE ";"Société par actions simplifiée";"Hôtel restaurant";'21;;150030;Active
"GESTION ET TRANSACTIONS DE FRANCE";01/04/1948;'572032373;"MICHEL PELEGE, SANDRINE PELEGE, ANNE-LAURENCE PELEGE, MONIQUE GEORGES, FREDERIC PELEGE";"50 RUE DE CHATEAUDUN 75009 PARIS FRANCE ";"SA à conseil d'administration";"Gestion et transactions immobilières - Conseil en investissements financiers, conseil en gestion patrimoniale";'75;"23 RUE CHAUCHAT 75009 PARIS FRANCE 5 RUE DROUOT 75009 PARIS FRANCE 123 BD DE STALINGRAD 94500 CHAMPIGNY-SUR-MARNE FRANCE 3 RUE DE LONGJUMEAU 91300 MASSY FRANCE 56 RUE DE LA POMPE 75016 PARIS FRANCE 41 RUE DU FOUR 75006 PARIS FRANCE 8 RUE MAYRAN 75009 PARIS FRANCE 75 RUE GABRIEL PERI 91300 MASSY FRANCE 29 BD JULES SANDEAU 75016 PARIS FRANCE 58 RUE DE CHATEAUDUN 75009 PARIS FRANCE 7 ALL RAYMOND NEGRE 94340 JOINVILLE-LE-PONT FRANCE 164 RUE DE VAUGIRARD 75015 PARIS FRANCE 38 RUE BOULARD 75014 PARIS FRANCE 15 RUE DE SEVIGNE 75004 PARIS FRANCE 81 RUE DE LOURMEL 75015 PARIS FRANCE 38 RUE DES ENTREPRENEURS 75015 PARIS FRANCE 41 RTE DE LA REINE 92100 BOULOGNE-BILLANCOURT FRANCE 98 RUE GALLIENI 92100 BOULOGNE-BILLANCOURT FRANCE 1 RUE D 'ESTIENNE D''ORVES 92320 CHATILLON FRANCE 31 AV CHARLES DE GAULLE 92200 NEUILLY-SUR-SEINE FRANCE 83 RUE DE LOURMEL 75015 PARIS FRANCE 10 RUE DE LA PEPINIERE 75008 PARIS FRANCE 49 RUE DE CHATEAUDUN 75009 PARIS FRANCE 30 RUE SAINT-LAZARE 75009 PARIS FRANCE 46 RUE DE PROVENCE 75009 PARIS FRANCE 116 RUE DE LA CONVENTION 75015 PARIS FRANCE ";18000000;Active
"ETS DBG DUBOURGEAL BOURGEAUX GUILLERMIN";01/04/1948;'605821008;"JULIE GNUVA";"408 AV DES AMARANCHES 74460 MARNAZ FRANCE ";"Société à responsabilité limitée";"Décolletage et petite mécanique.";'74;"74130 MONT-SAXONNEX FRANCE 27 RUE DES PETITES ECURIES 75010 PARIS FRANCE ZAE PLEINE MOUILLE 74130 MONT-SAXONNEX FRANCE 29 RUE DE LA CROIX 74950 SCIONZIER FRANCE ";150000;Active
"VILLE SAS";01/04/1948;'061500955;;"1 AV DE ROMANS 38160 SAINT-MARCELLIN FRANCE ";"Société par actions simplifiée";"Vente en gros et commissions de fruits, légumes, noix et cerneaux.";'38;"RTE DE LA GARE 38430 MOIRANS FRANCE 53 RTE DE MARSEILLE 38150 CHANAS FRANCE ";152449;Active
"ETABLISSEMENTS OURY GUYE ET FILS";01/04/1948;'845820497;;"31 RUE MALAINGRE 52800 NOGENT FRANCE ";"Société par actions simplifiée";"Fabrication et vente de tous articles de coutellerie et chirurgie";'52;;600000;Active
"CUMA DE CHEVROUX";01/04/1948;'421666223;"JEAN CLAMENT";"CHEVROUX 18140 CHARENTONNAY FRANCE ";"CUMA - Coopérative d'utilisation de matériel agricole en commun";"Utilisation en commun de tous matériels agricoles";'18;;8980;Active
"NANOGLOU RADIATEURS AUTO-INDUSTRIE";01/04/1948;'058800012;"RAYMOND NANOGLOU";"29 RUE DE FRIEDLAND 13006 MARSEILLE FRANCE ";"Société à responsabilité limitée";"Réparations de radiateurs automobiles neufs et d'occasion tous travaux de tôlerie et de soudure Antogene.";'13;;7622.45;Active
COINTREAU;01/04/1948;'582143384;"ELISABETH TONA, LUCA MAROTTA, MARIE-AMELIE JACQUET";"CAR MOLIERE 49124 SAINT BARTHELEMY D'ANJOU FRANCE ";"Société par actions simplifiée";"Production et commercialisation de liqueurs ";'49;"152 AV DES CHAMPS ELYSEES 75008 PARIS 8 FRANCE 5 BD DU CHP DE MARS 68000 COLMAR FRANCE PROPRIETE BORDENEUVE 32110 PANJAS FRANCE 9 QUAI AMIRAL BERGERET 64100 BAYONNE FRANCE 2 BD DES BRETONNIERES 49124 SAINT BARTHELEMY D'ANJOU FRANCE ZI DE JALDAY 64500 SAINT-JEAN-DE-LUZ FRANCE 21 BD HAUSSMANN 75009 PARIS 9 FRANCE 21 RUE BALZAC 75008 PARIS 8 FRANCE 22 RTE DE GRAVES 16120 GRAVES-SAINT-AMANT FRANCE ";4036944;Active
"SCI CONCORDE";01/04/1948;'443916499;"ALFRED MULLER";"23 RUE DE FORT-LOUIS 67000 STRASBOURG FRANCE ";"Société civile immobilière";"La propriété, l'administration et l'exploitation par bail, location ou autrement de tous immeubles bâtis ou non bâtis.";'67;;6949.44;Active
"HOTEL DANEMARK";01/04/1948;'562089813;"JEAN CHARLES NURIT";"21 RUE VAVIN 75006 PARIS FRANCE ";"Société par actions simplifiée";"HOTEL MEUBLE";'75;;50000;Active
"SOCIETE GENERALE DU CAOUTCHOUC";01/04/1948;'675820161;"LILIAN ANDRE GILLE, CORALIE PAUZAT, PHILIPPE CHABREYROUX";"AV ROGER RONCIER 19100 BRIVE-LA-GAILLARDE FRANCE ";"Société par actions simplifiée";"Le négoce transformation courtage représentation dépôt ou consignation de tous produits et matériaux industriels agricoles artisanaux de transformation et intermédiaires";'19;"RUE BERNARD COURTOIS 19100 BRIVE-LA-GAILLARDE FRANCE AV BENOIT FRACHON 24330 BOULAZAC ISLE MANOIRE FRANCE RUE ALFRED NOBEL 24330 BOULAZAC ISLE MANOIRE FRANCE ";150000;Active
"ETABLISSEMENTS COLOMBO";01/04/1948;'325720944;"BENJAMIN JOEL JEAN COLOMBO, JEAN-MARC COLOMBO";"11 AV DU THIOU 74000 ANNECY FRANCE ";"Société à responsabilité limitée";"EXPLOITATION D'UN FONDS DE COMMERCE DE MONTAGE ET INSTALLATIONS ELECTRIQUES, VENTE D'APPAREILLAGES ELECTRIQUES, ELECTRO-MECANIQUES ET RADIOPHONIQUES.";'74;;9878.7;Active
"SCI NOGENT CHATEAUDUN";02/04/1948;'444393292;"SEBASTIEN JEAN CLAUDE ANDREANI";"5 RUE ANTOINE CHANTIN 75014 PARIS FRANCE ";"Société civile immobilière";"LOCATION DE BIENS IMMOBILIERS";'75;;2972.63;Active
"CUMA DE SULIGNAT";05/04/1948;'379998164;"BERNARD AUGUSTE CARJOT, JEAN-MICHEL GUYOT, REGIS MAURICE JANICHON, VINCENT MOREL, MARC LEON RIGOLLET";"MAIRIE 01400 SULIGNAT FRANCE ";"CUMA - Coopérative d'utilisation de matériel agricole en commun";"Utilisation en commun de matériel agricole";'01;;;Active
"CUMA DE BELLAING";05/04/1948;'423937374;"GUILLAUME BOUCHER, CHRISTOPHE NOEL CHEVAILLIER";"42 RUE JEAN JAURES 59135 BELLAING FRANCE ";"CUMA - Coopérative d'utilisation de matériel agricole en commun";"Mise à disposition de matériels et d'équipements agricoles";'59;;1;Active
"SCI DE LA BLAQUE";07/04/1948;'327876132;"BERNADETTE MARIE MAGALI BEMBO, ALESSO MARIA RAFAELE ANNE BEMBO, FABRIZIO MARIA ANGELO ROLAND BEMBO, HELENA MARIE MARTHE DENISE BEMBO";"CHE DE LA BLAQUE 13090 AIX-EN-PROVENCE FRANCE ";"Société civile immobilière";"EXPLOITATION ET MISE EN VALEUR D'UNE PROPRIETE SIS A AIX EN PROVENCE QUARTIER DE LA BLAQUE";'13;"CHE DE LA BLAQUE 13530 TRETS FRANCE ";60979.61;Active
"LE CIRIS";10/04/1948;'035920172;"JEAN-CHARLES FRANCK GAMBINI, THERESE GAMBINI";"64 RUE DE LA REPUBLIQUE 06600 ANTIBES FRANCE ";"Société à responsabilité limitée";"BAR CAFE BRASSERIE GLACIER RESTAURANT HOTEL MEUBLE VENTES A EMPORTER.";'06;;7622.45;Active
"SOCIETE DU RESTAURANT LA MARENDA";11/04/1948;'664200797;"MOKHTAR OUBENNOUR, GERALD CASTANY";"16 AV DE LA REPUBLIQUE 66650 BANYULS-SUR-MER FRANCE ";"Société à responsabilité limitée";"brasserie, licence IV, glacier, crêperie.";'66;;17531.64;Active
"SOCIETE MARTINIQUAISE DE COMMERCE ET DE REPRESENTATION";12/04/1948;'303160428;"CHARLES ETIENNE JOSEPH Roy-Camille, MICHEL FELIX Roy-Camille, CORINNE SEVERAC";"ZONE DE GROS LA JAMBETTE 97232 LE LAMENTIN FRANCE ";"Société par actions simplifiée";"Achat, vente, importation exportation de produits et marchandises.";'972;;77000;Active
"BECTON DICKINSON FRANCE";14/04/1948;'056501711;"KEVIN EGESBORG, PAULINE ROMAIN";"11 RUE ARISTIDE BERGES 38800 LE PONT-DE-CLAIX FRANCE ";"Société par actions simplifiée";"La fabrication, l'exploitation, la représentation, l'achat et la vente de toutes applications mécaniques, électriques, électroniques, biologique ou autres dans le domaine de la santé, et en particulier de tous dispositifs médicaux et de tous dispositifs médicaux de diagnostic in vitro, et plus généralement de tous produits de santé, ainsi que la distribution et la commercialisation de tous produits et dispositifs pharmaceutiques et médicaux y compris l'exploitation des médicaments, opérations de vente en gros.";'38;"5 CHE DES SOURCES 38240 MEYLAN FRANCE 3 RUE LE CORBUSIER 94150 RUNGIS FRANCE LE GRAND CHEMIN 38590 BREZINS FRANCE 86 RUE VICTOR HUGO 94200 IVRY-SUR-SEINE FRANCE 2 PL GUSTAVE EIFFEL 94150 RUNGIS FRANCE 36 RUE DE WATTIGNIES 75012 PARIS FRANCE 18 RUE SAARINEN 94150 RUNGIS FRANCE 110 B AV DU GENERAL LECLERC 93500 PANTIN FRANCE 8 AV JEAN D'ALEMBERT 78190 TRAPPES FRANCE 8 THIMONNIER 38320 POISAT FRANCE 5 PL B PALISSY 38320 POISAT FRANCE 6 RUE DE LA COUTURE 94150 RUNGIS FRANCE 3 CHE DE LA PLAINE 38640 CLAIX FRANCE CHANTECAILLE 07340 CHAMPAGNE FRANCE 56 RUE D'ARCUEIL 94150 RUNGIS FRANCE 164 AV JOSEPH KESSEL 78960 VOISINS-LE-BRETONNEUX FRANCE 5 AV RAYMOND CHANAS 38320 EYBENS FRANCE ";64719915;Active
"SCI LECHAPELAIS BOURGUIGNON";14/04/1948;'424063105;"CLAUDE MARCEL JEAN GILLET";"4 RUE LEMERCIER 75017 PARIS FRANCE ";"Société civile immobilière";"ACHAT ET EXPLOITATION BIENS IMMOBILIERS";'75;;1524;Active
"IMPRIMERIE GRESSET";15/04/1948;'625780028;"LUDOVIC DEMIMUID, MARIELLE GAETANE GRESSET";"RTE DE CHAMPAGNOLE 39300 NEY FRANCE ";"Société à responsabilité limitée";"Imprimerie, achat, vente, transformation de tous papiers cartons, pâtes à papier, bois et chiffons, entreprise de propagande, de publicité, toutes opérations se rapportant à l'édition, l'impression, le façonnage et la transformation en général, la réalisation de prestations de services.";'39;"10 T RUE LAVOISIER 25000 BESANCON FRANCE 489 RUE RENE CASSIN 39300 CHAMPAGNOLE FRANCE ";785152;Active
"SCI STRASBOURG GRANDE RUE";15/04/1948;'428890826;"DIDIER JEAN-FRANCOIS Bensa, ARTHUR Bensa, GASPARD Bensa, KARINE Bensa, ALEXIS Bensa";"71 AV MARCEAU 75016 PARIS FRANCE ";"Société civile immobilière";"Acquisition, administration et exploitation par bail,location ou autrement, de tous immeubles bâtis ou non bâtis";'75;"8 BD DE STRASBOURG 94130 NOGENT-SUR-MARNE FRANCE 44 RUE BRUNEL 75017 PARIS FRANCE ";13224;Active
DESFOSSEY;15/04/1948;'515720480;"LOUIS ANDRE EDMOND DESFOSSEY, CATHERINE DENISE HENRIETTE BOULLAND";"18 RUE COLBERT 21200 BEAUNE FRANCE ";"Société civile immobilière";"l'acquisition, l'administration, la propriété, la gestion par location ou autrement de tous immeubles et biens immobiliers, l'acquisition, la détention, la gestion de titres et de toutes valeurs mobilières";'21;;13285.93;Active
"COOPERATIVE VINICOLE LE ROYAL COTEAU SOCIETE COOPERATIVE AGRICOLE";15/04/1948;'780390803;"GERARD EUGENE ALFRED JOURNE, ALAIN LUCIEN ADRIEN GARNIER, NICOLE JULIETTE RAYMONDE PARIZY, SEBASTIEN DEHEC, ADRIEN BERNARD UKRAINIEC, MURIEL CHRISTIANE ITAN, PIERRE HENRI QUENARDELLE, ODIL PIERRE LEBLOND, MARIE-LAURE ARLETTE MAREST, REMI EMILIEN LUCIEN DEHEC";"11 RUE 51190 Grauves FRANCE ";"Société coopérative agricole";"élaboration de vins de champagne.";'51;;32943;Active
"MAISON HOTELIERE";15/04/1948;'015850472;"BERTRAND CHALUMEAU";"18 RUE DE CRACOVIE 21000 DIJON FRANCE ";"Société par actions simplifiée";"Fournitures pour hôtels restaurants cafés salon de thé Fournitures pour hôtels restaurants cafés salon de thé collectivités et particuliers et notamment vente d'ameublement literie tissus tapis Lingé de maison vaisselle quincaillerie papeterie appareils ménagers";'21;;80000;Active
"ETABLISSEMENTS PAUL CHARRIERE";15/04/1948;'745820068;"FRANCOISE ODETTE THERESE JEANNE";"1 RUE FAVRE 73000 CHAMBERY FRANCE ";"Société à responsabilité limitée";"TISSUS,SOIERIES,LAINAGES,COTON RAYONNE,TOILE ET TOUT LE BLANC CONFECTIONNE OU NON (COMMERCE DE DETAIL).";'73;"1 RUE DU LAC 74000 ANNECY FRANCE 2 RUE BERTHOLLET 73000 CHAMBERY FRANCE 1 RUE JEAN JAURES 74000 ANNECY FRANCE RTE DE BROMINES 74330 SILLINGY FRANCE RUE DU MAROCAZ 73230 SAINT-ALBAN-LEYSSE FRANCE ";45000;Active
ASTRAZENECA;15/04/1948;'558201075;"ANNE-LAURE MARIE DRENO, ANNE-CELINE BAROIS";"31 PL DES COROLLES 92400 COURBEVOIE FRANCE ";"Société par actions simplifiée";"Fabrication et vente de produits pharmaceutiques";'92;"CHE DE VRILLY 51100 REIMS FRANCE 1 RUE DES CHAUFFOURS 95000 CERGY FRANCE 1 PL RENAULT 92500 RUEIL-MALMAISON FRANCE 1 RUE FRANCOIS JACOB 92500 RUEIL-MALMAISON FRANCE ";61148640;Active
G.F.;19/04/1948;'444133276;"ISABELLE Fabro, MARTINE Platey, GERARD DANIEL Fabro, ERIC Fabro";"22 RUE ALPHONSE DE NEUVILLE 75017 PARIS FRANCE ";"Société civile immobilière";"Location de terrains et d'autres biens immobiliers";'75;"71 RUE DE BEZONS 92400 COURBEVOIE FRANCE ";609.8;Active
"LES TRIOLETS";20/04/1948;'582105540;"DONAL Loughney";"33 RUE DE MONTREUIL 75011 PARIS FRANCE ";"Société par actions simplifiée";"CAFE - BRASSERIE - BILLARD";'75;"16 RUE AMELOT 75011 PARIS FRANCE ";6372.37;Active
"SOCIETE BINET";20/04/1948;'570800862;"JACQUES ANDRE BINET, PIERRE LEON BINET";"90 RUE DE FENOUILLET 31200 TOULOUSE FRANCE ";"Société en nom collectif";"ENTREPRISE DE TRANSPORTS ROUTIERS DE CAMIONNAGE ET COMMISSIONNAIRE DE TRANSPORTS ; LA PRISE A BAIL DE TOUS LOCAUX OU LEUR ACQUISITION, LA LOCATION OU LA MISE EN GERANCE DES FONDS DE COMMERCE, LA LOCATION DES IMMEUBLES, LA LOCATION DES VEHICULES.";'31;;18293.88;Active
